Symbol,Name,Sector,Industry,52high,52low,변동률(%),Sector2
A234340,헥토파이낸셜,기타 정보 서비스업,"가상계좌중계, 간편현금결제",33850,18100,87.01657459,서비스/오락/문화
A084990,헬릭스미스,자연과학 및 공학 연구개발업,"바이오신약, 천연물신약 연구개발",25950,12950,100.3861004,의료/의약
A000720,현대건설,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",52100,35600,46.34831461,건설업
A267270,현대건설기계,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등",46800,33200,40.96385542,기계
A000725,현대건설우,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스",191500,59200,223.4797297,건설업
A170030,현대공업,자동차 신품 부품 제조업,"시트패드, 암레스트, 헤드레스트",9190,6200,48.22580645,제조
A005440,현대그린푸드,종합 소매업,"백화점,여행알선,숙박,음식점/부동산 임대",9870,6590,49.7723824,서비스/오락/문화
A086280,현대글로비스,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",212000,145500,45.70446735,운송/운수
A042670,현대두산인프라코어,특수 목적용 기계 제조업,"굴삭기,엔진 제조,도소매",8470,4600,84.13043478,기계
A064350,현대로템,철도장비 제조업,"철도차량, 특수중기, 산업기계",31400,17800,76.40449438,철강
A079430,현대리바트,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",17200,9700,77.31958763,제조
A012330,현대모비스,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",273000,192500,41.81818182,제조
A319400,현대무벡스,일반 목적용 기계 제조업,"물류자동화, IT서비스",4060,2605,55.85412668,기계
A010620,현대미포조선,선박 및 보트 건조업,"선박수리,선박개조,선박신조",116000,62100,86.79549114,운송/운수
A048410,현대바이오,기타 화학제품 제조업,화장품 및 화장품원료,41100,19900,106.5326633,화학
A052260,현대바이오랜드,기타 화학제품 제조업,"천연물질 추출물, 미생물 배양제품",20650,10950,88.58447489,화학
A069960,현대백화점,종합 소매업,백화점,86400,54300,59.1160221,서비스/오락/문화
A004560,현대비앤지스틸,1차 철강 제조업,"스텐레스냉연강판,특수강 제조",19850,12050,64.73029046,철강
A004310,현대약품,의약품 제조업,"타코실, 마이녹실, 테놀민, 미에로화이바 등",7110,3830,85.63968668,의료/의약
A322000,현대에너지솔루션,반도체 제조업,"태양광 셀·모듈, PV시스템, ESS",84500,18700,351.8716578,전기/전자
A041440,현대에버다임,특수 목적용 기계 제조업,"콘크리트펌프트럭, 중장비개량사업",10150,4600,120.6521739,기계
A039010,현대에이치티,통신 및 방송 장비 제조업,스마트홈 제조,10500,7140,47.05882353,방송/통신
A017800,현대엘리베이,일반 목적용 기계 제조업,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수",49750,23450,112.1535181,기계
A307950,현대오토에버,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",143500,93300,53.80493033,IT
A011210,현대위아,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",89700,50400,77.97619048,제조
A090850,현대이지웰,소프트웨어 개발 및 공급업,선택적복리후생서비스,11750,5900,99.15254237,IT
A267260,현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","변압기, 고압차단기, 회전기, 배전반 등",34150,15900,114.7798742,전기/전자
A004020,현대제철,1차 철강 제조업,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",48200,29750,62.01680672,철강
